Location,"Mortality Rate, 2014*"
United States,"252.70 (247.12, 258.27)"
Alabama,"310.59 (303.44, 317.77)"
"Autauga County, Alabama","316.36 (298.73, 334.72)"
"Baldwin County, Alabama","272.04 (260.19, 284.03)"
"Barbour County, Alabama","255.09 (238.51, 271.82)"
"Bibb County, Alabama","378.09 (353.16, 402.74)"
"Blount County, Alabama","307.90 (290.88, 324.10)"
"Bullock County, Alabama","322.56 (296.51, 350.16)"
"Butler County, Alabama","382.55 (357.04, 408.16)"
"Calhoun County, Alabama","368.25 (352.75, 385.64)"
"Chambers County, Alabama","326.33 (307.48, 345.66)"
"Cherokee County, Alabama","301.07 (281.80, 321.10)"
"Chilton County, Alabama","351.70 (331.24, 372.54)"
"Choctaw County, Alabama","356.81 (332.12, 382.48)"
"Clarke County, Alabama","313.40 (292.77, 334.39)"
"Clay County, Alabama","390.37 (362.75, 421.43)"
"Cleburne County, Alabama","360.18 (335.22, 385.70)"
"Coffee County, Alabama","310.93 (293.55, 329.27)"
"Colbert County, Alabama","308.32 (292.95, 324.82)"
"Conecuh County, Alabama","349.78 (322.32, 376.23)"
"Coosa County, Alabama","301.93 (277.38, 328.76)"
"Covington County, Alabama","318.86 (303.24, 336.25)"
"Crenshaw County, Alabama","313.72 (290.17, 338.08)"
"Cullman County, Alabama","350.97 (333.12, 368.28)"
"Dale County, Alabama","291.55 (275.75, 308.18)"
"Dallas County, Alabama","412.98 (391.08, 436.35)"
"DeKalb County, Alabama","354.46 (336.65, 372.61)"
"Elmore County, Alabama","277.36 (261.90, 292.56)"
"Escambia County, Alabama","350.49 (328.85, 370.36)"
"Etowah County, Alabama","356.71 (340.63, 374.34)"
"Fayette County, Alabama","326.56 (303.81, 349.97)"
"Franklin County, Alabama","375.76 (354.90, 400.03)"
"Geneva County, Alabama","330.38 (310.62, 350.47)"
"Greene County, Alabama","304.94 (281.44, 329.87)"
"Hale County, Alabama","361.32 (336.37, 386.37)"
"Henry County, Alabama","300.75 (279.76, 324.00)"
"Houston County, Alabama","300.26 (286.78, 315.61)"
