County,"Uterine cancer Mortality Rate, 2014*","Breast cancer Mortality Rate, 2014*","Colon cancer Mortality Rate, 2014*"
"Autauga County, Alabama","2.85 (2.33, 3.38)","29.53 (26.10, 34.78)","28.76 (26.52, 31.17)"
"Baldwin County, Alabama","2.58 (2.16, 2.98)","25.90 (23.33, 29.76)","23.43 (22.03, 24.90)"
"Barbour County, Alabama","4.54 (3.76, 5.24)","35.68 (31.19, 41.75)","31.87 (28.94, 34.77)"
"Bibb County, Alabama","3.47 (2.86, 4.04)","30.95 (27.06, 36.50)","29.82 (27.16, 32.54)"
"Blount County, Alabama","2.33 (1.93, 2.72)","23.86 (20.91, 28.27)","23.74 (21.76, 25.70)"
"Bullock County, Alabama","4.87 (3.94, 5.79)","34.29 (29.46, 40.79)","31.55 (28.18, 34.95)"
"Butler County, Alabama","3.61 (2.96, 4.25)","32.50 (28.53, 38.19)","34.42 (31.45, 37.37)"
"Calhoun County, Alabama","2.62 (2.14, 3.09)","29.76 (26.83, 35.15)","31.61 (29.64, 33.70)"
"Chambers County, Alabama","4.11 (3.39, 4.83)","34.25 (30.65, 40.41)","31.93 (29.37, 34.41)"
"Cherokee County, Alabama","2.79 (2.24, 3.27)","27.23 (23.70, 32.15)","29.67 (27.07, 32.36)"
"Chilton County, Alabama","2.76 (2.27, 3.24)","26.82 (23.54, 31.52)","30.62 (28.19, 32.95)"
"Choctaw County, Alabama","3.08 (2.54, 3.61)","26.94 (23.53, 31.93)","25.16 (22.98, 27.44)"
"Clarke County, Alabama","3.53 (2.86, 4.14)","31.76 (27.74, 36.88)","31.06 (28.25, 33.82)"
"Clay County, Alabama","3.08 (2.51, 3.68)","25.11 (21.73, 29.81)","27.12 (24.29, 29.84)"
"Cleburne County, Alabama","3.14 (2.58, 3.67)","28.80 (24.77, 34.13)","34.03 (30.93, 37.05)"
"Coffee County, Alabama","3.02 (2.38, 3.62)","29.01 (25.76, 33.65)","23.25 (21.20, 25.24)"
"Colbert County, Alabama","2.79 (2.29, 3.34)","31.93 (28.23, 37.61)","31.85 (29.32, 34.56)"
"Conecuh County, Alabama","3.75 (3.02, 4.45)","32.36 (27.73, 39.08)","33.02 (29.78, 36.39)"
"Coosa County, Alabama","3.30 (2.65, 3.92)","28.92 (24.69, 34.91)","25.73 (23.12, 28.54)"
"Covington County, Alabama","3.24 (2.65, 3.78)","32.17 (28.64, 37.33)","29.99 (27.77, 32.43)"
"Crenshaw County, Alabama","3.34 (2.78, 4.00)","29.92 (25.90, 35.24)","32.71 (29.67, 36.14)"
"Cullman County, Alabama","2.55 (2.13, 2.98)","28.37 (25.46, 33.18)","25.24 (23.53, 27.08)"
"Dale County, Alabama","3.87 (3.16, 4.50)","29.55 (26.16, 34.52)","26.91 (24.89, 29.08)"
"Dallas County, Alabama","4.58 (3.82, 5.33)","36.57 (32.81, 43.32)","39.82 (36.65, 42.81)"
"DeKalb County, Alabama","2.68 (2.23, 3.13)","28.36 (25.23, 33.36)","27.02 (24.99, 29.05)"
"Elmore County, Alabama","3.24 (2.68, 3.82)","32.99 (29.42, 38.88)","27.64 (25.60, 29.89)"
"Escambia County, Alabama","3.22 (2.65, 3.76)","34.14 (30.21, 40.40)","28.74 (26.38, 31.23)"
"Etowah County, Alabama","2.73 (2.28, 3.21)","29.22 (26.36, 34.08)","26.85 (25.17, 28.73)"
"Fayette County, Alabama","2.99 (2.42, 3.54)","31.88 (27.23, 38.55)","33.10 (29.76, 36.55)"
"Franklin County, Alabama","2.99 (2.45, 3.54)","33.04 (28.99, 38.68)","34.96 (31.83, 38.00)"
"Geneva County, Alabama","3.09 (2.56, 3.64)","26.82 (23.43, 31.82)","25.64 (23.40, 27.86)"
"Greene County, Alabama","5.03 (4.08, 6.00)","38.15 (32.25, 45.88)","36.53 (32.75, 40.29)"
"Hale County, Alabama","4.58 (3.75, 5.34)","40.23 (34.82, 48.29)","32.83 (29.96, 36.12)"
"Henry County, Alabama","4.19 (3.45, 5.00)","33.41 (28.81, 39.23)","26.18 (23.64, 28.87)"
"Houston County, Alabama","3.97 (3.27, 4.64)","30.51 (27.43, 36.03)","24.83 (23.00, 26.57)"
"Jackson County, Alabama","3.14 (2.63, 3.64)","32.06 (28.40, 38.08)","31.55 (29.10, 34.22)"
"Jefferson County, Alabama","3.90 (3.29, 4.34)","33.46 (31.09, 39.27)","27.70 (26.44, 28.99)"
"Lamar County, Alabama","2.95 (2.32, 3.53)","32.61 (28.02, 38.22)","33.04 (30.04, 36.32)"
"Lauderdale County, Alabama","2.60 (2.17, 3.01)","27.40 (24.60, 31.51)","28.07 (26.12, 30.19)"
"Lawrence County, Alabama","2.58 (2.14, 3.04)","25.32 (22.14, 29.93)","30.17 (27.69, 32.66)"
"Lee County, Alabama","3.80 (3.19, 4.41)","35.15 (31.38, 41.79)","27.45 (25.56, 29.38)"
"Limestone County, Alabama","2.56 (2.13, 2.97)","23.78 (21.14, 28.11)","24.10 (22.40, 25.94)"
"Lowndes County, Alabama","4.35 (3.58, 5.12)","35.40 (30.71, 42.24)","40.61 (37.17, 44.69)"
"Macon County, Alabama","5.16 (4.23, 5.96)","37.28 (32.85, 43.95)","34.88 (31.83, 37.63)"
"Madison County, Alabama","3.10 (2.63, 3.56)","28.28 (25.88, 33.50)","23.96 (22.64, 25.30)"
"Marengo County, Alabama","3.76 (3.10, 4.40)","30.89 (27.31, 35.48)","31.83 (29.40, 34.58)"
"Marion County, Alabama","2.65 (2.16, 3.13)","29.04 (25.74, 34.51)","27.93 (25.70, 30.31)"
"Marshall County, Alabama","2.58 (2.13, 3.02)","26.86 (24.01, 31.88)","26.09 (24.38, 27.93)"
"Mobile County, Alabama","3.82 (3.21, 4.31)","31.78 (29.24, 37.03)","28.15 (26.82, 29.80)"
"Monroe County, Alabama","3.51 (2.89, 4.11)","30.17 (26.37, 35.63)","31.11 (28.34, 34.09)"
"Montgomery County, Alabama","3.91 (3.28, 4.46)","31.53 (28.75, 37.15)","29.67 (27.99, 31.63)"
"Morgan County, Alabama","2.40 (1.98, 2.83)","27.75 (24.84, 32.87)","24.88 (23.08, 26.83)"
"Perry County, Alabama","4.55 (3.71, 5.35)","34.24 (29.62, 40.28)","39.58 (35.59, 43.87)"
"Pickens County, Alabama","3.42 (2.79, 4.05)","29.11 (25.46, 34.84)","34.51 (31.28, 37.62)"
"Pike County, Alabama","4.30 (3.55, 5.03)","36.86 (32.62, 43.73)","32.19 (29.52, 35.13)"
"Randolph County, Alabama","3.68 (3.03, 4.33)","29.20 (25.74, 34.20)","28.01 (25.74, 30.53)"
"Russell County, Alabama","4.27 (3.51, 4.94)","35.01 (30.85, 40.51)","33.08 (30.56, 35.65)"
"Saint Clair County, Alabama","2.55 (2.10, 2.99)","23.80 (21.19, 28.30)","25.22 (23.28, 27.15)"
"Shelby County, Alabama","2.55 (2.10, 2.95)","22.03 (19.76, 26.29)","19.62 (18.25, 20.99)"
"Sumter County, Alabama","3.82 (3.14, 4.46)","27.15 (23.45, 32.14)","29.39 (26.79, 32.38)"
"Talladega County, Alabama","3.51 (2.91, 4.14)","33.73 (30.34, 39.03)","30.85 (28.73, 33.20)"
"Tallapoosa County, Alabama","3.51 (2.87, 4.14)","30.59 (27.20, 36.53)","27.35 (25.15, 29.47)"
"Tuscaloosa County, Alabama","3.36 (2.76, 3.85)","30.69 (27.96, 36.21)","27.87 (26.18, 29.72)"
"Walker County, Alabama","2.83 (2.34, 3.31)","33.98 (30.24, 40.44)","34.01 (31.50, 36.66)"
"Washington County, Alabama","3.18 (2.57, 3.75)","31.36 (27.28, 37.17)","28.98 (26.16, 32.02)"
"Wilcox County, Alabama","4.74 (3.86, 5.64)","43.01 (37.51, 50.59)","39.72 (36.02, 43.60)"
"Winston County, Alabama","2.44 (2.00, 2.90)","26.21 (22.80, 30.78)","31.17 (28.29, 34.25)"
"Aleutians East Borough, Alaska","1.91 (1.23, 2.76)","15.15 (10.87, 20.56)","20.08 (15.50, 25.00)"
"Aleutians West Census Area, Alaska","1.91 (1.23, 2.76)","15.15 (10.87, 20.56)","20.08 (15.50, 25.00)"
"Anchorage Municipality, Alaska","3.09 (2.50, 3.68)","26.60 (23.80, 30.86)","20.12 (18.35, 22.00)"
"Bethel Census Area, Alaska","2.87 (2.18, 3.57)","25.68 (21.06, 30.83)","41.73 (35.04, 48.55)"
"Bristol Bay Borough, Alaska","2.29 (1.31, 3.53)","22.36 (13.66, 32.56)","37.65 (27.04, 50.20)"
"Denali Borough, Alaska","2.72 (2.00, 3.51)","25.94 (21.11, 32.53)","38.26 (33.39, 43.27)"
"Dillingham Census Area, Alaska","2.99 (2.17, 3.94)","25.09 (19.60, 32.11)","39.75 (33.90, 46.21)"
"Fairbanks North Star Borough, Alaska","2.20 (1.65, 2.90)","23.77 (20.51, 28.09)","21.94 (19.61, 24.37)"
"Haines Borough, Alaska","2.52 (1.74, 3.47)","19.02 (13.96, 24.98)","26.09 (18.26, 37.36)"
"Hoonah-Angoon Census Area, Alaska","2.96 (2.04, 4.05)","21.15 (16.47, 26.90)","23.98 (19.77, 27.98)"
"Juneau City and Borough, Alaska","3.03 (2.14, 4.08)","22.19 (18.43, 26.52)","24.54 (21.45, 27.61)"
"Kenai Peninsula Borough, Alaska","2.46 (1.92, 3.09)","28.35 (24.74, 33.33)","24.98 (22.90, 27.16)"
"Ketchikan Gateway Borough, Alaska","3.66 (2.59, 5.01)","27.20 (23.07, 32.33)","30.54 (26.96, 34.02)"
"Kodiak Island Borough, Alaska","2.27 (1.62, 3.06)","21.43 (16.86, 26.83)","26.91 (23.07, 30.79)"
"Kusilvak Census Area, Alaska","3.11 (2.23, 4.19)","27.24 (21.21, 34.32)","52.66 (44.53, 61.04)"
"Lake and Peninsula Borough, Alaska","2.99 (2.17, 3.94)","25.09 (19.60, 32.11)","39.75 (33.90, 46.21)"
"Matanuska-Susitna Borough, Alaska","2.43 (1.90, 3.07)","26.56 (23.37, 31.40)","25.64 (23.31, 27.91)"
"Nome Census Area, Alaska","2.63 (1.86, 3.52)","25.03 (20.04, 31.48)","49.47 (42.77, 56.64)"
"North Slope Borough, Alaska","2.46 (1.72, 3.36)","24.82 (19.35, 32.47)","39.93 (33.68, 46.95)"
"Northwest Arctic Borough, Alaska","2.54 (1.76, 3.48)","25.21 (19.42, 32.31)","46.50 (38.94, 53.81)"
"Petersburg Borough, Alaska","3.66 (2.59, 5.01)","27.20 (23.07, 32.33)","30.54 (26.96, 34.02)"
"Prince of Wales-Hyder Census Area, Alaska","3.66 (2.59, 5.01)","27.20 (23.07, 32.33)","30.54 (26.96, 34.02)"
"Sitka City and Borough, Alaska","2.90 (2.08, 3.91)","21.39 (17.51, 26.56)","25.36 (21.68, 29.15)"
"Skagway Municipality, Alaska","2.96 (2.04, 4.05)","21.15 (16.47, 26.90)","23.98 (19.77, 27.98)"
"Southeast Fairbanks Census Area, Alaska","2.57 (1.91, 3.36)","28.44 (22.95, 35.65)","26.87 (23.10, 30.93)"
"Valdez-Cordova Census Area, Alaska","2.72 (2.07, 3.42)","25.58 (21.03, 31.60)","25.18 (21.90, 28.54)"
"Wrangell City and Borough, Alaska","3.66 (2.59, 5.01)","27.20 (23.07, 32.33)","30.54 (26.96, 34.02)"
"Yakutat City and Borough, Alaska","2.96 (2.04, 4.05)","21.15 (16.47, 26.90)","23.98 (19.77, 27.98)"
"Yukon-Koyukuk Census Area, Alaska","2.72 (2.00, 3.51)","25.94 (21.11, 32.53)","38.26 (33.39, 43.27)"
"Apache County, Arizona","3.20 (2.60, 3.70)","19.72 (17.38, 22.92)","22.09 (20.30, 23.87)"
"Cochise County, Arizona","3.72 (3.10, 4.30)","24.98 (22.51, 28.84)","22.02 (20.57, 23.61)"
"Coconino County, Arizona","2.87 (2.38, 3.37)","22.88 (20.40, 26.17)","17.30 (16.01, 18.67)"
"Gila County, Arizona","3.05 (2.56, 3.54)","26.42 (23.46, 30.79)","22.38 (20.70, 24.19)"
"Graham County, Arizona","3.74 (3.14, 4.35)","29.41 (25.54, 34.57)","24.92 (22.64, 27.20)"
"Greenlee County, Arizona","3.61 (2.92, 4.32)","26.05 (21.60, 31.54)","23.37 (20.58, 26.32)"
