State,County,"County diagnosed diabetes prevalence for total population, 30+yrs, 2008 (%)",,,
AL,Alabama*,13.8,,,
AL,Autauga,10.8,,,
AL,Baldwin,8.9,,,
AL,Barbour,14.6,,,
AL,Bibb,13.3,,,
AL,Blount,11.3,,,
AL,Bullock,18.2,,,
AL,Butler,14.1,,,
AL,Calhoun,12.4,,,
AL,Chambers,14.2,,,
AL,Cherokee,11.9,,,
AL,Chilton,11.6,,,
AL,Choctaw,13.8,,,
AL,Clarke,13.4,,,
AL,Clay,12.0,,,
AL,Cleburne,11.9,,,
AL,Coffee,10.9,,,
AL,Colbert,12.2,,,
AL,Conecuh,14.5,,,
AL,Coosa,13.8,,,
AL,Covington,11.4,,,
AL,Crenshaw,12.8,,,
AL,Cullman,10.6,,,
AL,Dale,12.0,,,
AL,Dallas,15.8,,,
AL,DeKalb,11.4,,,
AL,Elmore,11.0,,,
AL,Escambia,13.4,,,
AL,Etowah,11.4,,,
AL,Fayette,11.7,,,
AL,Franklin,11.5,,,
AL,Geneva,11.8,,,
AL,Greene,18.3,,,
AL,Hale,16.4,,,
AL,Henry,12.7,,,
AL,Houston,11.1,,,
AL,Jackson,11.1,,,
AL,Jefferson,12.1,,,
AL,Lamar,12.1,,,
AL,Lauderdale,10.5,,,
AL,Lawrence,12.7,,,
AL,Lee,11.4,,,
AL,Limestone,10.6,,,
AL,Lowndes,17.7,,,
AL,Macon,17.6,,,
AL,Madison,9.1,,,
AL,Marengo,13.8,,,
AL,Marion,11.6,,,
AL,Marshall,10.4,,,
AL,Mobile,12.0,,,
AL,Monroe,13.4,,,
AL,Montgomery,12.0,,,
AL,Morgan,10.2,,,
AL,Perry,17.4,,,
AL,Pickens,14.0,,,
AL,Pike,13.0,,,
AL,Randolph,12.8,,,
AL,Russell,14.0,,,
AL,St. Clair,11.7,,,
AL,Shelby,7.4,,,
AL,Sumter,17.9,,,
AL,Talladega,13.5,,,
AL,Tallapoosa,11.9,,,
AL,Tuscaloosa,11.6,,,
AL,Walker,12.3,,,
AL,Washington,13.6,,,
AL,Wilcox,17.0,,,
AL,Winston,11.0,,,
AK,Alaska*,7.7,,,
AK,Aleutians East,16.8,,,
AK,Aleutians West,13.2,,,
AK,Anchorage,9.0,,,
AK,Bethel,16.1,,,
AK,Bristol Bay,12.8,,,
AK,Denali,9.0,,,
AK,Dillingham,13.9,,,
AK,Fairbanks North Star,8.5,,,
AK,Haines,7.1,,,
AK,Juneau,7.0,,,
AK,Kenai Peninsula,8.6,,,
AK,Ketchikan Gateway,9.5,,,
AK,Kodiak Island,10.0,,,
AK,Lake and Peninsula,16.7,,,
AK,Matanuska-Susitna,9.1,,,
AK,Nome,15.4,,,
AK,North Slope,14.5,,,
AK,Northwest Arctic,16.8,,,
AK,Prince of Wales-Outer Ketchikan,12.8,,,
AK,Sitka,8.3,,,
AK,Skagway-Hoonah-Angoon,12.1,,,
AK,Southeast Fairbanks,10.0,,,
AK,Valdez-Cordova,9.2,,,
AK,Wade Hampton,19.7,,,
AK,Wrangell-Petersburg,10.0,,,
AK,Yakutat,13.1,,,
AK,Yukon-Koyukuk,16.1,,,
