Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (2010-)","Belarus","Total Population - Both sexes","Population","2019","1000 persons","9452"
"Food Balances (2010-)","Belarus","Food supply (kcal/capita/day)","Grand Total","2019","kcal/capita/day","3295"
"Food Balances (2010-)","Belarus","Protein supply quantity (g/capita/day)","Grand Total","2019","g/capita/day","91.65"
"Food Balances (2010-)","Belarus","Fat supply quantity (g/capita/day)","Grand Total","2019","g/capita/day","130.05"
"Food Balances (2010-)","Belarus","Food supply (kcal/capita/day)","Vegetal Products","2019","kcal/capita/day","2459"
"Food Balances (2010-)","Belarus","Protein supply quantity (g/capita/day)","Vegetal Products","2019","g/capita/day","41.87"
"Food Balances (2010-)","Belarus","Fat supply quantity (g/capita/day)","Vegetal Products","2019","g/capita/day","67.99"
"Food Balances (2010-)","Belarus","Food supply (kcal/capita/day)","Animal Products","2019","kcal/capita/day","836"
"Food Balances (2010-)","Belarus","Protein supply quantity (g/capita/day)","Animal Products","2019","g/capita/day","49.78"
"Food Balances (2010-)","Belarus","Fat supply quantity (g/capita/day)","Animal Products","2019","g/capita/day","62.06"
"Food Balances (2010-)","Belarus","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2019","kg","121.31"
"Food Balances (2010-)","Belarus","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2019","kcal/capita/day","929"
"Food Balances (2010-)","Belarus","Protein supply quantity (g/capita/day)","Cereals - Excluding Beer","2019","g/capita/day","25.3"
"Food Balances (2010-)","Belarus","Fat supply quantity (g/capita/day)","Cereals - Excluding Beer","2019","g/capita/day","13.38"
"Food Balances (2010-)","Belarus","Food supply quantity (kg/capita/yr)","Starchy Roots","2019","kg","175.98"
"Food Balances (2010-)","Belarus","Food supply (kcal/capita/day)","Starchy Roots","2019","kcal/capita/day","323"
"Food Balances (2010-)","Belarus","Protein supply quantity (g/capita/day)","Starchy Roots","2019","g/capita/day","7.72"
"Food Balances (2010-)","Belarus","Fat supply quantity (g/capita/day)","Starchy Roots","2019","g/capita/day","0.48"
"Food Balances (2010-)","Belarus","Food supply quantity (kg/capita/yr)","Sugar Crops","2019","kg","0"
"Food Balances (2010-)","Belarus","Food supply (kcal/capita/day)","Sugar Crops","2019","kcal/capita/day","0"
"Food Balances (2010-)","Belarus","Protein supply quantity (g/capita/day)","Sugar Crops","2019","g/capita/day","0"
"Food Balances (2010-)","Belarus","Fat supply quantity (g/capita/day)","Sugar Crops","2019","g/capita/day","0"
"Food Balances (2010-)","Belarus","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","2019","kg","79.78"
"Food Balances (2010-)","Belarus","Food supply (kcal/capita/day)","Sugar & Sweeteners","2019","kcal/capita/day","312"
